frame_index,time_s,y_pixel_M1,y_pixel_M2
0,0.0,327,318
1,0.011111111111111112,327,318
2,0.022222222222222223,327,318
3,0.03333333333333333,327,319
4,0.044444444444444446,326,318
5,0.05555555555555555,327,318
6,0.06666666666666667,326,318
7,0.07777777777777778,327,318
8,0.08888888888888889,327,318
9,0.1,326,318
10,0.1111111111111111,327,318
11,0.12222222222222222,327,318
12,0.13333333333333333,327,318
13,0.14444444444444443,327,318
14,0.15555555555555556,327,319
15,0.16666666666666666,326,318
16,0.17777777777777778,327,318
17,0.18888888888888888,327,318
18,0.2,327,318
19,0.2111111111111111,326,318
20,0.2222222222222222,327,318
21,0.23333333333333334,327,318
22,0.24444444444444444,327,318
23,0.25555555555555554,327,318
24,0.26666666666666666,326,318
25,0.2777777777777778,327,318
26,0.28888888888888886,327,318
27,0.3,327,318
28,0.3111111111111111,327,319
29,0.32222222222222224,326,318
30,0.3333333333333333,327,318
31,0.34444444444444444,327,318
32,0.35555555555555557,327,318
33,0.36666666666666664,327,318
34,0.37777777777777777,327,318
35,0.3888888888888889,327,318
36,0.4,327,319
37,0.4111111111111111,327,319
38,0.4222222222222222,327,320
39,0.43333333333333335,327,319
40,0.4444444444444444,327,320
41,0.45555555555555555,327,320
42,0.4666666666666667,327,320
43,0.4777777777777778,327,320
44,0.4888888888888889,327,319
45,0.5,327,319
46,0.5111111111111111,327,318
47,0.5222222222222223,327,318
48,0.5333333333333333,327,319
49,0.5444444444444444,327,318
50,0.5555555555555556,327,318
51,0.5666666666666667,327,318
52,0.5777777777777777,327,319
53,0.5888888888888889,328,318
54,0.6,327,318
55,0.6111111111111112,327,318
56,0.6222222222222222,327,318
57,0.6333333333333333,327,318
58,0.6444444444444445,327,318
59,0.6555555555555556,327,318
60,0.6666666666666666,327,318
61,0.6777777777777778,327,318
62,0.6888888888888889,328,318
63,0.7,327,318
64,0.7111111111111111,328,318
65,0.7222222222222222,327,318
66,0.7333333333333333,327,318
67,0.7444444444444445,327,318
68,0.7555555555555555,328,318
69,0.7666666666666667,327,318
70,0.7777777777777778,327,318
71,0.7888888888888889,328,318
72,0.8,328,318
73,0.8111111111111111,327,318
74,0.8222222222222222,328,318
75,0.8333333333333334,327,318
76,0.8444444444444444,328,318
77,0.8555555555555555,327,318
78,0.8666666666666667,327,319
79,0.8777777777777778,328,319
80,0.8888888888888888,327,319
81,0.9,328,319
82,0.9111111111111111,328,319
83,0.9222222222222223,327,319
84,0.9333333333333333,328,319
85,0.9444444444444444,327,319
86,0.9555555555555556,328,320
87,0.9666666666666667,327,319
88,0.9777777777777777,328,320
89,0.9888888888888889,328,320
90,1.0,328,320
91,1.011111111111111,328,320
92,1.0222222222222221,328,320
93,1.0333333333333334,327,320
94,1.0444444444444445,328,320
95,1.0555555555555556,328,320
96,1.0666666666666667,328,320
97,1.0777777777777777,328,318
98,1.0888888888888888,327,318
99,1.1,328,318
100,1.1111111111111112,328,318
101,1.1222222222222222,328,318
102,1.1333333333333333,328,318
103,1.1444444444444444,328,318
104,1.1555555555555554,327,319
105,1.1666666666666667,328,319
106,1.1777777777777778,328,318
107,1.1888888888888889,327,319
108,1.2,328,319
109,1.211111111111111,328,318
110,1.2222222222222223,327,319
111,1.2333333333333334,328,319
112,1.2444444444444445,327,319
113,1.2555555555555555,328,319
114,1.2666666666666666,328,319
115,1.2777777777777777,327,320
116,1.288888888888889,328,319
117,1.3,328,319
118,1.3111111111111111,328,320
119,1.3222222222222222,328,319
120,1.3333333333333333,328,319
121,1.3444444444444446,327,320
122,1.3555555555555556,328,319
123,1.3666666666666667,328,320
124,1.3777777777777778,328,320
125,1.3888888888888888,328,320
126,1.4,328,319
127,1.4111111111111112,328,320
128,1.4222222222222223,328,320
129,1.4333333333333333,328,320
130,1.4444444444444444,328,320
131,1.4555555555555555,328,320
132,1.4666666666666666,328,320
133,1.4777777777777779,328,318
134,1.488888888888889,328,318
135,1.5,328,318
136,1.511111111111111,328,319
137,1.5222222222222221,328,319
