"e, g"
"322, -0.2199"
"323, 0.2173"
"324, 0.4418"
"325, 0.4662"
"326, 0.268"
"327, -0.1177"
"328, -0.4137"
"329, -0.4517"
"330, -0.2261"
"331, 0.1335"
"332, 0.4516"
"333, 0.4841"
"334, 0.2863"
"335, -0.1123"
"336, -0.4303"
"337, -0.4772"
"338, -0.2393"
"339, 0.1159"
"340, 0.4207"
"341, 0.5085"
"342, 0.2931"
"343, -0.095"
"344, -0.4097"
"345, -0.4715"
"346, -0.2976"
"347, 0.0744"
"348, 0.4088"
"349, 0.5041"
"350, 0.3151"
"351, -0.0306"
"352, -0.3686"
"353, -0.4834"
"354, -0.2893"
"355, 0.0576"
"356, 0.4078"
"357, 0.506"
"358, 0.3353"
"359, -0.0517"
"360, -0.3599"
"361, -0.4524"
"362, -0.3107"
"363, 0.0607"
"364, 0.4059"
"365, 0.506"
"366, 0.3525"
"367, -0.0099"
"368, -0.3518"
"369, -0.5001"
"370, -0.3268"
"371, 0.0375"
"372, 0.4042"
"373, 0.5341"
"374, 0.4094"
"375, -0.0003"
"376, -0.3189"
"377, -0.4813"
"378, -0.3014"
"379, -0.0137"
"380, 0.3405"
"381, 0.5027"
"382, 0.3413"
"383, 0.0296"
"384, -0.3332"
"385, -0.481"
"386, -0.3553"
"387, 0.0149"
"388, 0.3575"
"389, 0.5015"
"390, 0.3823"
"391, 0.075"
"392, -0.3253"
"393, -0.4452"
"394, -0.3546"
"395, -0.0571"
"396, 0.2847"
"397, 0.5373"
"398, 0.4135"
"399, 0.1149"
"400, -0.3108"
"401, -0.4903"
"402, -0.3931"
"403, -0.0716"
"404, 0.2896"
"405, 0.5186"
"406, 0.4089"
"407, 0.112"
"408, -0.2558"
"409, -0.4633"
"410, -0.3929"
"411, -0.1196"
"412, 0.2469"
"413, 0.5264"
"414, 0.4504"
"415, 0.1244"
"416, -0.2058"
"417, -0.4654"
"418, -0.3965"
"419, -0.1201"
"420, 0.2971"
"421, 0.5294"
"422, 0.4512"
"423, 0.183"
"424, -0.2019"
"425, -0.4332"
"426, -0.4512"
"427, -0.1318"
"428, 0.2547"
"429, 0.4513"
"430, 0.4437"
"431, 0.1465"
"432, -0.1976"
"433, -0.4378"
"434, -0.4126"
"435, -0.1676"
"436, 0.2433"
"437, 0.4499"
"438, 0.4435"
"439, 0.2096"
"440, -0.1614"
"441, -0.4433"
"442, -0.4935"
"443, -0.194"
"444, 0.1612"
"445, 0.4808"
"446, 0.4938"
"447, 0.2148"
"448, -0.1557"
"449, -0.4531"
"450, -0.4618"
"451, -0.1957"
"452, 0.1438"
"453, 0.4662"
"454, 0.4837"
"455, 0.24"
"456, -0.1236"
"457, -0.4408"
"458, -0.4788"
"459, -0.2608"
"460, 0.1786"
"461, 0.4445"
"462, 0.4868"
"463, 0.2819"
"464, -0.0994"
"465, -0.4116"
"466, -0.4614"
"467, -0.243"
"468, 0.1042"
"469, 0.4188"
"470, 0.5006"
"471, 0.2526"
"472, -0.1028"
"473, -0.3658"
"474, -0.4454"
"475, -0.2839"
"476, 0.1016"
"477, 0.422"
"478, 0.5718"
"479, 0.3414"
"480, -0.0502"
"481, -0.3973"
"482, -0.5139"
"483, -0.2948"
"484, 0.0501"
"485, 0.3718"
"486, 0.5001"
"487, 0.3169"
"488, 0.0111"
"489, -0.3445"
"490, -0.4842"
"491, -0.2884"
"492, 0.0417"
"493, 0.3665"
"494, 0.5451"
"495, 0.3681"
"496, -0.0183"
"497, -0.349"
"498, -0.5025"
"499, -0.364"
